"","Name","Pos2","Age","Year","FG","Bhind_Arc","In_Arc","FreeT","OfReb","DefReb","Assist","Steal","Block","TOV","Fouls","pred_Bhind_Arc","pred_In_Arc","pred_FreeT","pred_OfReb","pred_DefReb","pred_Assist","pred_Steal","pred_Block","pred_TOV","pred_Fouls"
"2948","Tony Snell","SG",26,2018,185,108,77,38,9,132,98,47,28,36,115,89.9571286426373,78.8412695183402,39.2880736615101,22.7322872430859,142.109351120433,107.375996360544,72.6476382610342,26.7256572897664,41.7014224643147,86.5587605484887
"2949","Tony Snell","SG",25,2017,246,144,102,47,22,226,96,55,14,55,125,84.388068178953,78.0438881397481,38.5111872136311,23.9947019886732,135.959042542113,106.846777372774,73.6641384226201,27.0310443442161,42.2638037819751,87.6440157622845
"2950","Tony Snell","SG",24,2016,126,0.372,0.361,0.38,33,0.909,180,199,63,16,17,77.6467038576354,72.3593533805793,34.9051503828787,24.0285583671282,125.7952669819,103.558779192505,73.5403192921041,26.7682156993336,41.3130925498191,87.0646354880417
"2951","Tony Snell","SG",23,2015,159,73,86,44,31,145,62,32,11,48,86,69.7330356786845,61.7876652408345,28.4699631692527,22.8338563784506,111.618024439795,97.512001819737,72.2761808694865,25.9371713551186,38.8492887678473,84.8206197257604
"2952","Tony Snell","SG",22,2014,129,57,72,31,19,105,68,29,15,44,84,60.6470636421003,46.3288237205125,19.2056255727537,20.4105960226403,93.4273149157981,88.7064452544699,69.871723154767,24.5379113115713,34.8723924360594,80.9119684754408
"2953","Torrey Craig","SF",28,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2244527484192,36.0230746174431,17.1185856821367,36.2804685201435,85.1233746145417,20.0116606027761,8.70286125421266,13.5581815468864,16.4114335827105,58.5854738101298
"2954","Torrey Craig","SF",27,2018,62,17,45,22,40,87,25,12,15,20,63,17.0000000000016,45.0000000000047,22.0000000000043,39.999999999996,87.0000000000064,25.0000000000043,12.0000000000019,15.000000000001,20.0000000000026,63.0000000000023
"2955","Torrey Craig","SF",26,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6032433939507,49.089772001989,24.0522639349988,42.4909731127161,84.8631584035779,27.2295602047334,14.1568194536893,15.8736027537831,22.0754738674787,65.7498907018365
"2956","Torrey Craig","SF",25,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03418293026635,48.292390623397,23.2753774871198,43.7533878583034,78.7128498252578,26.7003412169633,15.1733196152752,16.1789898082328,22.637855185139,66.8351459156323
"2957","Torrey Craig","SF",24,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292818608948714,42.6078558642282,19.6693406563675,43.7872442367584,68.549074265045,23.4123430366946,15.0495004847592,15.9161611633503,21.687143952983,66.2557656413895
"2958","Torrey Craig","SF",23,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.62084957000213,32.0361677244834,13.2341534427414,42.5925422480808,54.3718317229404,17.3655656639264,13.7853620621416,15.0851168191353,19.2233401710112,64.0117498791082
"2959","Travis Wear","SF",28,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5780434439459,32.7191466853299,10.2839153539554,9.88684640176226,63.8488374820231,19.3054890844317,4.67811101183425,6.10010096521184,16.0678616062205,36.4575909894366
"2960","Travis Wear","SF",27,2018,25,17,8,8,0,38,7,4,5,6,30,22.3535906955284,41.6960720678915,15.165329671823,13.6063778816148,65.7254628674878,24.2938284816599,7.97524975762344,7.54191941832637,19.6564280235126,40.8721171793091
"2961","Travis Wear","SF",26,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9568340894774,45.7858440698758,17.2175936068175,16.0973509943349,63.5886212710593,26.523388686389,10.1320692113109,8.41552217210854,21.7319018909887,43.6220078811432
"2962","Travis Wear","SF",25,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3877736257931,44.9884626912838,16.4407071589386,17.3597657399222,57.4383126927392,25.9941696986189,11.1485693728968,8.72090922655822,22.294283208649,44.707263094939
"2963","Travis Wear","SF",24,2015,84,11,73,20,31,75,40,15,11,35,55,5.64640930447543,39.303927932115,12.8346703281862,17.3936221183772,47.2745371325264,22.7061715183502,11.0247502423808,8.4580805816757,21.343571976493,44.1278828206962
"2964","Travis Wear","SF",23,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.26725887447541,28.7322397923702,6.39948311456016,16.1989201296996,33.0972945904218,16.659394145582,9.76061181976316,7.6270362374607,18.8797681945212,41.8838670584149
"2965","Treveon Graham","SG",25,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1981984107953,43.9703788290438,32.3236304375709,24.0634946158794,65.2523968312732,38.8113868666589,20.2558883418273,2.17835081699129,17.1826131231453,65.2013881553869
"2966","Treveon Graham","SG",24,2018,96,40,56,41,42,79,59,33,2,27,109,28.4568340894777,38.285844069875,28.7175936068185,24.0973509943344,55.0886212710604,35.5233886863903,20.1320692113113,1.91552217210877,16.2319018909893,64.6220078811441
