Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Brandon Jennings,PG,26,TOT,48,7,868,112,304,51,155,61,149,57,78,16,80,96,170,29,7,57,57,332,,
Brandon Knight,SG,24,PHO,52,50,1870,371,895,120,351,251,544,156,183,36,166,202,263,61,20,177,124,1018,,
Brandon Rush,SG,30,GSW,72,25,1055,111,260,65,157,46,103,18,28,21,160,181,57,20,23,33,57,305,,
Brian Roberts,PG,30,TOT,51,0,470,74,165,15,42,59,123,42,47,6,35,41,54,10,2,23,35,205,,
Briante Weber,PG,23,TOT,7,4,169,14,39,0,5,14,34,3,4,8,17,25,21,9,3,9,12,31,,
Brook Lopez,C,27,BRK,73,73,2457,591,1157,2,14,589,1143,317,403,204,369,573,147,58,124,175,215,1501,,
Bruno Caboclo,SF,20,TOR,6,1,43,1,12,1,7,0,5,0,0,1,1,2,1,2,1,4,2,3,,
Bryce Cotton,PG,23,TOT,8,0,39,4,10,0,3,4,7,0,0,0,0,0,3,3,0,5,2,8,,
Bryce Dejean-Jones,SG,23,NOP,14,11,279,28,69,12,32,16,37,11,21,8,40,48,15,10,2,11,17,79,,
C.J. McCollum,SG,24,POR,80,80,2780,641,1431,197,472,444,959,187,226,47,212,259,341,97,23,196,187,1666,,
C.J. Miles,SF,28,IND,64,24,1464,259,634,142,387,117,247,93,124,25,150,175,63,53,29,70,142,753,,
C.J. Watson,PG,31,ORL,33,2,656,47,137,14,48,33,89,34,39,10,56,66,88,19,5,25,49,142,,
C.J. Wilcox,SG,25,LAC,23,0,167,26,66,9,23,17,43,9,12,1,11,12,10,10,2,2,15,70,,
Cameron Bairstow,C,25,CHI,18,2,103,13,40,1,5,12,35,7,8,4,24,28,6,2,3,4,19,34,,
Cameron Payne,PG,21,OKC,57,1,698,114,278,36,111,78,167,19,24,9,76,85,108,36,6,44,80,283,,
Carl Landry,PF,32,PHI,36,12,569,139,250,6,13,133,237,67,91,49,97,146,32,12,9,22,69,351,,
Carmelo Anthony,SF,31,NYK,72,72,2530,567,1307,105,310,462,997,334,403,98,458,556,299,62,38,176,180,1573,,
Caron Butler,SF,35,SAC,17,1,176,25,59,3,18,22,41,10,12,5,17,22,10,9,1,3,19,63,,
Chandler Parsons,SF,27,DAL,61,51,1799,320,651,104,251,216,400,93,136,29,256,285,169,46,21,95,114,837,,
Channing Frye,PF-C,32,TOT,70,32,1200,152,347,91,235,61,112,30,35,35,199,234,71,29,28,43,127,425,,
Charlie Villanueva,PF,31,DAL,62,4,665,125,327,47,172,78,155,22,24,24,128,152,24,18,15,31,71,319,,
Chase Budinger,SF,27,TOT,66,2,929,104,239,24,86,80,153,39,56,43,107,150,64,32,10,44,62,271,,
Chris Andersen,C,37,TOT,27,15,402,38,72,4,14,34,58,25,36,36,62,98,12,15,13,9,29,105,,
Chris Bosh,PF,31,MIA,53,53,1778,358,767,81,222,277,545,213,268,48,342,390,128,36,34,78,101,1010,,
Chris Copeland,PF,31,MIL,24,1,156,17,51,10,36,7,15,6,7,1,9,10,11,2,0,6,17,50,,
Chris Johnson,SF,25,UTA,70,2,857,72,194,27,99,45,95,34,42,27,105,132,45,32,20,40,100,205,,
Chris Kaman,C,33,POR,16,2,112,20,43,1,4,19,39,3,3,7,17,24,11,1,1,8,15,44,,
Chris McCullough,PF,20,BRK,24,4,362,44,109,13,34,31,75,11,23,25,43,68,9,28,12,15,39,112,,
Chris Paul,PG,30,LAC,74,74,2420,515,1114,122,329,393,785,294,328,39,271,310,738,152,13,194,185,1446,,
Christian Wood,PF,20,PHI,17,0,145,22,53,4,11,18,42,13,21,13,25,38,3,5,7,2,11,61,,
Chuck Hayes,C,32,HOU,2,0,24,1,2,0,0,1,2,2,2,0,8,8,2,0,0,3,6,4,,
Cleanthony Early,SF,24,NYK,17,2,154,12,40,4,15,8,25,3,4,4,22,26,6,2,3,9,16,31,,
Cliff Alexander,PF,20,POR,8,0,36,5,10,0,0,5,10,0,0,2,4,6,0,1,2,1,1,10,,
Clint Capela,C,21,HOU,77,35,1471,231,397,0,1,231,396,80,211,194,300,494,47,59,92,60,190,542,,
Cody Zeller,C,23,CHO,73,60,1774,231,437,1,10,230,427,175,232,138,317,455,71,57,63,68,204,638,,
Cole Aldrich,C,27,LAC,60,5,800,134,225,0,0,134,225,60,84,86,202,288,50,47,68,64,139,328,,
Corey Brewer,SF,29,HOU,82,12,1669,212,552,61,224,151,328,105,140,42,157,199,109,84,19,78,168,590,,
Cory Jefferson,PF,25,PHO,8,0,50,9,22,0,1,9,21,4,6,6,10,16,0,0,1,0,8,22,,
Cory Joseph,SG,24,TOR,80,4,2046,257,585,30,110,227,475,133,174,39,171,210,250,63,20,102,131,677,,
Coty Clarke,SF,23,BOS,3,0,6,2,4,2,2,0,2,0,0,0,1,1,0,0,0,1,0,6,,
Courtney Lee,SG,30,TOT,79,65,2334,290,639,82,217,208,422,99,118,29,176,205,136,85,28,72,134,761,,
Cristiano Felicio,C,23,CHI,31,4,321,40,72,0,4,40,68,25,35,30,72,102,26,6,13,13,31,105,,
D.J. Augustin,PG,28,TOT,62,0,1178,148,350,68,168,80,182,103,128,8,87,95,198,38,4,84,85,467,,
D'Angelo Russell,PG,19,LAL,80,48,2259,392,956,130,370,262,586,140,190,47,227,274,266,93,13,196,142,1054,,
Dahntay Jones,SF,35,CLE,1,0,42,6,14,1,2,5,12,0,0,1,4,5,2,1,2,0,6,13,,
Damian Lillard,PG,25,POR,75,75,2676,618,1474,229,610,389,864,414,464,45,257,302,512,65,28,242,165,1879,,
Damien Inglis,SF,20,MIL,20,1,156,13,37,3,13,10,24,7,8,2,29,31,10,6,3,11,11,36,,
Damjan Rudez,SF,29,MIN,33,0,277,25,62,17,50,8,12,8,8,5,15,20,11,3,1,13,33,75,,
Danilo Gallinari,SF,27,DEN,53,53,1839,287,700,87,239,200,461,375,432,52,229,281,135,42,19,77,87,1036,,
Danny Green,SG,28,SAS,79,79,2062,211,561,116,349,95,212,34,46,48,255,303,141,79,64,75,141,572,,
Dante Cunningham,SF,28,NOP,80,46,1971,186,412,55,174,131,238,57,82,57,179,236,77,42,33,41,173,484,,
Darrell Arthur,PF,27,DEN,70,16,1516,221,489,45,117,176,372,40,53,86,207,293,96,53,48,66,185,527,,
Darren Collison,PG,28,SAC,74,15,2219,377,776,87,217,290,559,194,226,28,141,169,318,76,4,130,142,1035,,
Darrun Hilliard,SG,22,DET,38,2,383,52,131,19,50,33,81,29,40,5,40,45,27,9,1,19,28,152,,
David Lee,PF,32,TOT,55,5,903,178,335,0,1,178,334,71,93,101,204,305,84,22,28,66,114,427,,
David West,PF,35,SAS,78,19,1404,244,448,3,7,241,441,63,80,72,237,309,143,44,55,68,142,554,,
DeAndre Jordan,C,27,LAC,77,77,2598,357,508,0,1,357,507,266,619,267,792,1059,90,51,177,107,207,980,,
DeJuan Blair,C,26,WAS,29,0,218,28,68,0,1,28,67,5,13,20,37,57,11,8,2,15,53,61,,
Delon Wright,PG,23,TOR,27,1,229,36,80,5,13,31,67,26,35,8,29,37,31,8,3,16,7,103,,
DeMar DeRozan,SG,26,TOR,78,78,2804,614,1377,47,139,567,1238,555,653,64,285,349,315,81,21,175,167,1830,,
DeMarcus Cousins,C,25,SAC,65,65,2246,601,1332,70,210,531,1122,476,663,158,589,747,214,101,92,249,236,1748,,
DeMarre Carroll,SF,29,TOR,26,22,786,105,270,46,118,59,152,30,50,31,91,122,27,44,6,28,63,286,,
Dennis Schroder,PG,22,ATL,80,6,1621,329,781,77,239,252,542,144,182,25,179,204,349,70,9,183,138,879,,
Deron Williams,PG,31,DAL,65,63,2106,321,775,97,282,224,493,179,206,19,171,190,378,61,14,150,155,918,,
Derrick Favors,PF,24,UTA,62,59,1983,418,811,0,4,418,807,180,254,169,334,503,94,74,91,104,150,1016,,
Derrick Rose,PG,27,CHI,66,66,2097,447,1048,44,150,403,898,142,179,46,179,225,311,44,14,175,84,1080,,
Derrick Williams,SF,24,NYK,80,9,1435,254,565,44,150,210,415,194,256,47,249,296,75,29,9,61,69,746,,
Devin Booker,SG,19,PHO,76,51,2108,367,867,99,289,268,578,215,256,27,160,187,200,44,20,160,225,1048,,
Devin Harris,PG,32,DAL,64,0,1280,167,374,52,158,115,216,101,140,18,120,138,118,60,13,66,124,487,,
Devyn Marble,SG,23,ORL,28,0,249,21,71,8,32,13,39,10,24,6,32,38,12,13,1,7,25,60,,
Dewayne Dedmon,C,26,ORL,58,20,705,99,177,0,0,99,177,57,76,67,161,228,13,22,46,32,109,255,,
Dion Waiters,SG,24,OKC,78,15,2152,282,706,86,240,196,466,112,157,36,166,202,154,81,15,120,143,762,,
Dirk Nowitzki,PF,37,DAL,75,75,2364,498,1112,126,342,372,770,250,280,52,437,489,132,52,52,84,161,1372,,
Donald Sloan,PG,28,BRK,61,33,1318,154,350,38,99,116,251,78,104,17,156,173,268,32,4,80,73,424,,
Donatas Motiejunas,PF,25,HOU,37,22,547,90,205,16,57,74,148,34,53,37,72,109,41,17,5,44,69,230,,
Doug McDermott,SF,24,CHI,81,4,1861,291,644,110,259,181,385,72,84,37,158,195,59,14,6,53,127,764,,
Draymond Green,PF,25,GSW,81,81,2808,401,819,100,258,301,561,229,329,134,635,769,598,119,113,259,240,1131,,
Drew Gooden,PF,34,WAS,30,0,305,33,103,7,41,26,62,9,14,28,57,85,13,8,11,13,40,82,,
Duje Dukan,SF,24,SAC,1,0,24,2,10,2,5,0,5,0,0,2,2,4,1,1,0,0,2,6,,
Dwight Howard,C,30,HOU,71,71,2280,372,600,0,6,372,594,232,474,238,597,835,98,69,113,166,219,976,,
Dwight Powell,PF,24,DAL,69,2,992,146,296,2,16,144,280,105,142,84,189,273,44,36,24,40,118,399,,
Dwyane Wade,SG,34,MIA,74,73,2258,540,1183,7,44,533,1139,322,406,82,220,302,344,79,42,203,116,1409,,
E'Twaun Moore,SG,26,CHI,59,22,1263,187,389,47,104,140,285,22,35,19,114,133,99,37,18,53,103,443,,
Ed Davis,PF,26,POR,81,0,1684,206,337,0,0,206,337,114,204,224,375,599,88,57,72,64,202,526,,
Edy Tavares,C,23,ATL,11,0,73,11,19,0,0,11,19,3,8,7,14,21,3,1,6,5,8,25,,
Elfrid Payton,PG,21,ORL,73,69,2145,318,730,30,92,288,638,112,190,77,184,261,468,89,20,177,159,778,,
Elijah Millsap,SG,28,UTA,20,0,173,11,39,1,12,10,27,13,18,6,29,35,19,7,3,9,33,36,,
Elliot Williams,PG,26,MEM,5,0,45,2,10,1,4,1,6,3,4,1,3,4,4,0,0,1,2,8,,
Elton Brand,C,36,PHI,17,1,225,31,72,0,1,31,71,8,9,9,54,63,18,9,8,11,32,70,,
Emmanuel Mudiay,PG,19,DEN,68,66,2068,329,905,74,232,255,673,140,209,32,200,232,372,65,35,217,141,872,,
Enes Kanter,C,23,OKC,82,1,1721,414,719,10,21,404,698,200,251,249,415,664,33,26,33,115,166,1038,,
Eric Bledsoe,PG,26,PHO,31,31,1059,223,492,48,129,175,363,138,172,18,107,125,190,63,19,110,75,632,,
Eric Gordon,SG,27,NOP,45,44,1481,231,552,113,294,118,258,111,125,10,89,99,121,43,14,73,98,686,,
Eric Moreland,PF,24,SAC,8,0,48,3,6,0,0,3,6,2,4,3,8,11,1,0,4,3,4,8,,
Erick Green,PG,24,TOT,9,0,42,5,13,1,5,4,8,2,2,3,3,6,3,1,0,0,4,13,,
Ersan Ilyasova,PF,28,TOT,74,56,1881,280,661,96,259,184,402,111,154,144,259,403,67,52,33,71,171,767,,
Evan Fournier,SF,23,ORL,79,71,2566,429,929,156,390,273,539,199,238,33,192,225,213,96,2,133,214,1213,,
Evan Turner,SG,27,BOS,81,12,2271,343,753,20,83,323,670,148,179,50,347,397,359,80,28,169,139,854,,
Festus Ezeli,C,26,GSW,46,13,770,125,228,0,0,125,228,70,132,91,166,257,32,18,50,38,94,320,,
Frank Kaminsky,C,22,CHO,81,3,1708,215,525,68,202,147,323,108,148,69,266,335,98,38,43,58,126,606,,
Garrett Temple,SF,29,WAS,80,43,1951,201,505,89,258,112,247,91,125,36,176,212,140,69,18,64,195,582,,
Gary Harris,SG,21,DEN,76,76,2439,359,765,105,297,254,468,109,133,54,166,220,147,97,18,98,143,932,,
Gary Neal,SG,31,WAS,40,2,807,151,325,41,100,110,225,47,55,11,72,83,47,20,1,29,55,390,,
George Hill,PG,29,IND,74,73,2524,326,739,128,314,198,425,114,150,58,240,298,259,83,17,101,149,894,,
Gerald Green,SG,30,MIA,69,14,1557,230,587,84,260,146,327,72,92,25,138,163,56,38,19,46,123,616,,
Gerald Henderson,SG,28,POR,72,0,1431,232,529,48,136,184,393,112,146,30,181,211,75,39,19,68,87,624,,
