Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Webb,SF,24,BRK,10,0,120,6,24,4,19,2,5,0,0,8,16,24,4,1,0,4,10,16
James Young,SG,22,PHI,6,0,61,5,14,3,10,2,4,4,6,0,2,2,2,0,0,1,4,17
Jamil Wilson,SF,27,LAC,15,10,274,38,81,27,63,11,18,2,4,3,29,32,10,5,8,8,34,105
JaMychal Green,PF,27,MEM,55,54,1542,223,488,43,127,180,361,80,111,147,317,464,79,32,25,76,153,569
Jared Dudley,PF,32,PHO,48,0,686,48,122,29,80,19,42,27,35,8,86,94,78,24,11,28,85,152
Jarell Eddie,SF,26,TOT,3,0,9,0,2,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
Jarell Martin,PF,23,MEM,73,36,1661,221,496,34,98,187,398,89,116,97,221,318,73,39,49,86,211,565
Jarrett Allen,C,19,BRK,72,31,1441,234,397,5,15,229,382,114,147,144,244,388,49,28,88,82,147,587
Jarrett Jack,PG,34,NYK,62,56,1548,189,443,25,86,164,357,63,75,22,169,191,348,35,4,115,98,466
Jason Smith,C,31,WAS,33,2,285,45,115,4,32,41,83,19,21,18,35,53,14,3,13,16,44,113
Jason Terry,SG,40,MIL,51,4,814,59,154,40,115,19,39,8,9,5,43,48,59,42,13,25,52,166
JaVale McGee,C,30,GSW,65,17,615,136,219,0,6,136,213,38,52,59,110,169,33,21,57,27,91,310
Jawun Evans,PG,21,LAC,48,4,778,89,253,15,54,74,199,38,49,9,75,84,100,36,6,44,97,231
Jaylen Brown,SG,21,BOS,70,70,2152,373,803,121,306,252,497,150,233,67,280,347,114,70,26,124,181,1017
Jaylen Morris,SG,22,ATL,6,0,98,13,31,2,9,11,22,0,0,2,14,16,7,2,1,6,2,28
Jayson Tatum,SF,19,BOS,80,80,2438,397,835,105,242,292,593,213,258,50,352,402,128,83,58,114,170,1112
Jeff Green,PF,31,CLE,78,13,1828,295,618,53,170,242,448,203,234,60,186,246,99,41,34,75,149,846
Jeff Teague,PG,29,MIN,70,70,2311,354,794,84,228,270,566,202,239,24,185,209,492,102,22,177,171,994
Jeff Withey,C,27,DAL,9,0,39,6,16,2,10,4,6,1,2,1,9,10,0,0,3,2,3,15
Jerami Grant,PF,23,OKC,81,1,1647,244,456,32,110,212,346,162,240,86,233,319,57,31,77,54,156,682
Jeremy Evans,SF,30,ATL,1,0,5,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,2
Jeremy Lamb,SG,25,CHO,80,18,1967,380,832,94,254,286,578,179,208,49,275,324,186,61,32,93,138,1033
Jeremy Lin,PG,29,BRK,1,1,25,5,12,1,2,4,10,7,7,0,0,0,4,0,0,3,3,18
Jerian Grant,PG,25,CHI,74,26,1686,209,504,61,188,148,316,140,188,31,141,172,342,63,8,89,132,619
Jerryd Bayless,SG,29,PHI,39,11,925,109,262,54,146,55,116,35,44,15,65,80,54,23,6,46,91,307
Jimmy Butler,SG,28,MIN,59,59,2164,437,921,70,200,367,721,363,425,79,235,314,288,116,24,108,78,1307
Joakim Noah,C,32,NYK,7,0,40,5,10,0,0,5,10,2,4,6,8,14,4,2,2,4,5,12
Jodie Meeks,SG,30,WAS,77,0,1119,157,393,72,210,85,183,101,117,15,111,126,70,29,4,37,55,487
Joe Harris,SG,26,BRK,78,14,1975,305,621,150,358,155,263,86,104,51,209,260,128,35,20,91,153,846
Joe Ingles,SF,30,UTA,82,81,2578,335,718,204,464,131,254,66,83,24,320,344,392,90,20,159,178,940
Joe Johnson,SF,36,TOT,55,4,1205,146,360,40,145,106,215,40,45,14,158,172,83,18,7,49,67,372
Joe Young,PG,25,IND,53,1,558,80,186,25,66,55,120,22,29,12,51,63,39,14,1,26,39,207
Joel Bolomboy,PF,24,MIL,6,0,38,3,6,0,1,3,5,3,6,6,4,10,0,2,0,2,3,9
Joel Embiid,C,23,PHI,63,63,1912,510,1056,66,214,444,842,359,467,143,547,690,199,40,111,234,209,1445
Joffrey Lauvergne,C,26,SAS,55,1,534,98,190,0,5,98,185,30,47,63,108,171,41,9,3,33,45,226
John Collins,PF,20,ATL,74,26,1785,314,545,16,47,298,498,133,186,176,365,541,98,47,80,105,215,777
John Henson,C,27,MIL,76,69,1970,287,502,1,7,286,495,90,158,150,363,513,114,45,109,84,202,665
John Holland,SF,29,CLE,24,0,174,17,59,11,36,6,23,9,13,6,18,24,5,7,2,8,10,54
John Wall,PG,27,WAS,41,41,1410,280,667,62,167,218,500,175,241,22,128,150,393,57,45,158,80,797
Johnathan Motley,PF,22,DAL,11,4,176,40,75,1,6,39,69,15,28,14,35,49,7,3,2,9,18,96
Johnny O'Bryant,PF,24,CHO,36,0,379,68,171,14,43,54,128,21,25,29,64,93,14,9,6,15,45,171
Jon Leuer,PF,28,DET,8,0,136,15,36,0,3,15,33,13,15,7,25,32,5,1,3,7,16,43
Jonas Jerebko,PF,30,UTA,74,19,1134,159,341,65,157,94,184,46,57,53,193,246,42,24,12,27,127,429
Jonas Valanciunas,C,25,TOR,77,77,1727,390,687,30,74,360,613,170,211,183,477,660,81,29,69,115,192,980
Jonathan Gibson,PG,30,BOS,4,0,40,14,23,6,12,8,11,0,0,0,3,3,4,0,0,3,5,34
Jonathan Isaac,PF,20,ORL,27,10,536,55,145,16,46,39,99,19,25,16,83,99,18,33,30,27,48,145
Jonathon Simmons,SG,28,ORL,69,50,2029,354,761,69,204,285,557,185,241,61,178,239,171,58,16,146,175,962
Jordan Bell,C,23,GSW,57,13,809,116,185,0,4,116,181,30,44,60,147,207,102,35,56,51,92,262
Jordan Clarkson,SG,25,TOT,81,2,1888,430,954,112,318,318,636,152,190,57,160,217,221,58,6,127,107,1124
Jordan Crawford,SG,29,NOP,5,0,53,12,27,8,14,4,13,1,1,2,2,4,13,1,1,5,7,33
Jordan Mickey,PF,23,MIA,23,3,284,39,82,2,16,37,66,13,19,18,64,82,9,6,10,18,36,93
Jose Calderon,PG,36,CLE,57,32,914,93,185,45,97,48,88,24,30,14,70,84,117,27,2,41,81,255
Josh Gray,PG,24,PHO,5,0,86,11,41,3,13,8,28,7,11,2,8,10,12,8,2,7,8,32
Josh Hart,SG,22,LAL,63,23,1461,176,375,78,197,98,178,66,94,42,221,263,80,47,16,47,107,496
Josh Huestis,PF,26,OKC,69,10,982,60,182,33,115,27,67,6,20,42,119,161,20,15,43,26,82,159
Josh Jackson,SF,20,PHO,77,35,1959,389,932,57,217,332,715,177,279,95,256,351,119,80,35,146,218,1012
Josh Magette,PG,28,ATL,18,0,216,15,46,8,22,7,24,8,8,2,17,19,57,8,1,9,16,46
Josh McRoberts,PF,30,DAL,2,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Josh Richardson,SF,24,MIA,81,81,2689,399,885,127,336,272,549,120,142,69,216,285,231,121,75,140,199,1045
Josh Smith,PF,32,NOP,3,0,12,1,4,0,0,1,4,0,0,3,1,4,0,0,0,0,3,2
Jrue Holiday,SG,27,NOP,81,81,2927,615,1244,120,356,495,888,187,238,62,303,365,486,123,64,213,201,1537
Juan Hernangomez,PF,22,DEN,25,3,277,29,75,14,50,15,25,10,12,18,36,54,12,6,3,9,25,82
Julius Randle,C,23,LAL,82,49,2190,504,904,10,45,494,859,305,425,181,472,653,210,43,45,213,274,1323
Julyan Stone,SG,29,CHO,23,0,175,6,13,6,13,0,0,1,2,1,28,29,26,4,2,7,21,19
Justin Anderson,SF,24,PHI,38,0,519,87,202,34,103,53,99,28,38,25,68,93,25,15,7,16,54,236
Justin Holiday,SG,28,CHI,72,72,2265,290,782,161,449,129,333,135,164,31,260,291,153,80,31,93,134,876
Justin Jackson,SF,22,SAC,68,41,1506,185,419,57,185,128,234,26,36,27,160,187,74,28,13,40,81,453
Justin Patton,C,20,MIN,1,0,4,1,2,0,0,1,2,0,0,0,0,0,0,1,0,0,1,2
Justise Winslow,PF,21,MIA,68,25,1680,207,488,49,129,158,359,66,104,64,305,369,148,54,33,77,140,529
Jusuf Nurkic,C,23,POR,79,79,2088,480,951,0,7,480,944,172,273,189,519,708,143,64,111,183,247,1132
Kadeem Allen,PG,25,BOS,18,1,107,6,22,0,11,6,11,7,9,4,7,11,12,3,2,9,15,19
Karl-Anthony Towns,C,22,MIN,82,82,2918,639,1172,120,285,519,887,345,402,238,774,1012,199,64,115,159,285,1743
Kawhi Leonard,SF,26,SAS,9,9,210,52,111,11,35,41,76,31,38,6,36,42,21,18,9,16,9,146
Kay Felder,PG,22,TOT,16,0,140,21,70,4,19,17,51,11,12,3,15,18,20,3,1,16,11,57
Kelly Olynyk,PF,26,MIA,76,22,1779,316,636,106,280,210,356,134,174,89,342,431,207,62,35,147,222,872
Kelly Oubre,SF,22,WAS,81,11,2231,318,790,126,369,192,421,191,233,59,304,363,98,80,35,90,234,953
Kemba Walker,PG,27,CHO,80,80,2736,588,1363,231,601,357,762,363,420,31,216,247,444,91,24,179,98,1770
Kendrick Perkins,C,33,CLE,1,0,15,1,2,0,0,1,2,1,2,0,1,1,2,1,0,1,1,3
